tau_t_[Pa] y_[m]
0.103292873510893 6.55099497269003E-05
0.266170720752109 0.00345423012007051
0.631651513523478 0.00684295029041412
0.863918901007714 0.0102316704607577
0.961459367943368 0.0136203906311013
0.994500780799443 0.017009110801445
0.993861175931713 0.0203978309717886
0.980948284051808 0.0237865511421322
0.964130805983898 0.0271752713124758
0.958280527589996 0.0305639914828194
0.951732553759653 0.033952711653163
0.892100058404306 0.0373414318235066
0.845442426584706 0.0407301519938502
0.820406274553989 0.0441188721641939
0.801322961335979 0.0475075923345375
0.783736979347054 0.0508963125048811
0.765105309242592 0.0542850326752247
0.745238364854831 0.0576737528455683
0.723864173093431 0.0610624730159119
0.701057655480061 0.0644511931862555
0.677086056426697 0.0678399133565991
0.652355636786597 0.0712286335269428
0.627380843000501 0.0746173536972864
0.602617358727407 0.07800607386763
0.578285450908589 0.0813947940379736
0.554482807934901 0.0847835142083172
0.531244977390315 0.0881722343786608
0.50858914216892 0.0915609545490044
0.486526411706967 0.094949674719348
0.465064999757273 0.0983383948896916
0.444206534021393 0.101727115060035
0.423925423635573 0.105115835230379
0.404230234281421 0.108504555400722
0.385106677413949 0.111893275571066
0.366401690407353 0.11528199574141
0.348080274579758 0.118670715911753
0.330297545588672 0.122059436082097
0.313055117130537 0.125448156252441
0.296272320197149 0.128836876422784
0.279906174175416 0.132225596593128
0.263936478920837 0.135614316763471
0.248325610106198 0.139003036933815
0.233036721980914 0.142391757104159
0.218032939139014 0.145780477274502
0.203271980594759 0.149169197444846
0.188715578987644 0.152557917615189
0.174332559129197 0.155946637785533
0.160021265312779 0.159335357955877
0.145738996912032 0.16272407812622
0.131603414990719 0.166112798296564
0.117589921645591 0.169501518466908
0.103653061787226 0.172890238637251
0.089782683543848 0.176278958807595
0.075972506495904 0.179667678977938
0.0622081132042714 0.183056399148282
0.0484715204742326 0.186445119318626
0.0347571328657963 0.189833839488969
0.0210596979620011 0.193222559659313
0.0073716789825217 0.196611279829656
0.00639978186852842 0.2
cp = 0.00013588948470731;
cs(cf) = 0.0017445348879174;
cd = 0.00188042437262471;
